3ount,O3,O5,O4,W24,W25,W13,W15,W14,W23,W46,W56,W36,Err1,Err3,Err2,Err5,Err4,Err6,O6
1,0.73105858,0.99330715,0.01798621,-3.02805392,0.47737314,-3.04461163,3.98868657,1.98597304,1.91077673,0.67959447,0.37308326,-0.62939316,0.00000000,-0.00446116,0.00000000,-0.00113134,-0.00140270,-0.11345098,0.83872377
2,0.68502063,0.99292040,0.01678842,-3.05539065,0.47098214,-2.87914228,3.98549107,1.97230468,2.24171544,0.65913852,-0.83674641,-1.46406055,0.00000000,0.01654694,0.00000000,-0.00031955,-0.00136684,-0.12184558,0.48767849
3,0.83261692,0.99280720,0.01569681,-3.05777956,0.47238380,-2.85521082,3.98619190,1.97111022,2.28957836,0.65729747,-0.95319073,-1.56171649,0.00000000,0.00239315,0.00000000,0.00007008,-0.00011945,-0.01172880,0.11512957
4,0.84863640,0.99283218,0.01560480,-3.05940818,0.47347794,-2.83903201,3.98673897,1.97029591,2.32193599,0.65603895,-1.03326209,-1.63015854,0.00000000,0.00161788,0.00000000,0.00005471,-0.00008143,-0.00806494,0.09436801
5,0.85873708,0.99285162,0.01554238,-3.06064722,0.47438314,-2.82682727,3.98719157,1.96967639,2.34634547,0.65507971,-1.09453868,-1.68315788,0.00000000,0.00122047,0.00000000,0.00004526,-0.00006195,-0.00617178,0.08199406
6,0.86597894,0.99286766,0.01549505,-3.06164752,0.47515899,-2.81705038,3.98757949,1.96917624,2.36589923,0.65430420,-1.14423069,-1.72649924,0.00000000,0.00097769,0.00000000,0.00003879,-0.00005002,-0.00500490,0.07349781
7,0.87155163,0.99288138,0.01545695,-3.06248611,0.47584010,-2.80891143,3.98792005,1.96875695,2.38217715,0.65365331,-1.18604049,-1.76319989,0.00000000,0.00081390,0.00000000,0.00003406,-0.00004193,-0.00421096,0.06718825
8,0.87603892,0.99289341,0.01542508,-3.06320780,0.47644850,-2.80195149,3.98822425,1.96839610,2.39609702,0.65309262,-1.22213137,-1.79504321,0.00000000,0.00069599,0.00000000,0.00003042,-0.00003608,-0.00363492,0.06225957
9,0.87976880,0.99290413,0.01539770,-3.06384100,0.47699916,-2.79588020,3.98849958,1.96807950,2.40823960,0.65260027,-1.25388021,-1.82317446,0.00000000,0.00060713,0.00000000,0.00002753,-0.00003166,-0.00319757,0.05827028
10,0.88294293,0.99291382,0.01537372,-3.06440488,0.47750274,-2.79050217,3.98875137,1.96779756,2.41899565,0.65216149,-1.28221864,-1.84837425,0.00000000,0.00053780,0.00000000,0.00002518,-0.00002819,-0.00285407,0.05495483
11,0.88569366,0.99292268,0.01535240,-3.06491301,0.47796715,-2.78567970,3.98898358,1.96754350,2.42864059,0.65176585,-1.30780693,-1.87119917,0.00000000,0.00048225,0.00000000,0.00002322,-0.00002541,-0.00257707,0.05214244
12,0.88811220,0.99293083,0.01533321,-3.06537530,0.47839841,-2.78131212,3.98919920,1.96731235,2.43737576,0.65140569,-1.33113022,-1.89206034,0.00000000,0.00043676,0.00000000,0.00002156,-0.00002311,-0.00234893,0.04971747
13,0.89026389,0.99293839,0.01531577,-3.06579926,0.47880120,-2.77732362,3.98940060,1.96710037,2.44535275,0.65107521,-1.35255557,-1.91127021,0.00000000,0.00039885,0.00000000,0.00002014,-0.00002120,-0.00215777,0.04759845
14,0.89219704,0.99294545,0.01529979,-3.06619068,0.47917928,-2.77365575,3.98958964,1.96690466,2.45268850,0.65076993,-1.37236747,-1.92907192,0.00000000,0.00036679,0.00000000,0.00001890,-0.00001957,-0.00199527,0.04572607
15,0.89394830,0.99295207,0.01528505,-3.06655416,0.47953567,-2.77026247,3.98976784,1.96672292,2.45947507,0.65048633,-1.39079089,-1.94565840,0.00000000,0.00033933,0.00000000,0.00001782,-0.00001817,-0.00185542,0.04405596
16,0.89554608,0.99295830,0.01527138,-3.06689336,0.47987288,-2.76710689,3.98993644,1.96655332,2.46578622,0.65022156,-1.40800681,-1.96118539,0.00000000,0.00031556,0.00000000,0.00001686,-0.00001696,-0.00173380,0.04255421
17,0.89701281,0.99296419,0.01525864,-3.06721130,0.48019298,-2.76415903,3.99009649,1.96639435,2.47168193,0.64997329,-1.42416302,-1.97578040,0.00000000,0.00029479,0.00000000,0.00001601,-0.00001590,-0.00162707,0.04119435
18,0.89836649,0.99296978,0.01524670,-3.06751044,0.48049773,-2.76139418,3.99024886,1.96624478,2.47721163,0.64973961,-1.43938176,-1.98954920,0.00000000,0.00027649,0.00000000,0.00001524,-0.00001496,-0.00153265,0.03995540
19,0.89962177,0.99297510,0.01523547,-3.06779285,0.48078861,-2.75879174,3.99039430,1.96610358,2.48241651,0.64951892,-1.45376527,-2.00258046,0.00000000,0.00026024,0.00000000,0.00001454,-0.00001412,-0.00144853,0.03882049
20,0.90079071,0.99298017,0.01522488,-3.06806028,0.48106690,-2.75633437,3.99053345,1.96596986,2.48733126,0.64930987,-1.46739997,-2.01494930,0.00000000,0.00024574,0.00000000,0.00001391,-0.00001337,-0.00137311,0.03777586
21,0.90188335,0.99298502,0.01521486,-3.06831423,0.48133370,-2.75400732,3.99066685,1.96584289,2.49198535,0.64911130,-1.48035953,-2.02671988,0.00000000,0.00023270,0.00000000,0.00001334,-0.00001270,-0.00130511,0.03681017
22,0.90290815,0.99298966,0.01520535,-3.06855596,0.48158999,-2.75179798,3.99079499,1.96572202,2.49640404,0.64892222,-1.49270728,-2.03794748,0.00000000,0.00022093,0.00000000,0.00001281,-0.00001209,-0.00124349,0.03591399
23,0.90387226,0.99299412,0.01519631,-3.06878658,0.48183660,-2.74969544,3.99091830,1.96560671,2.50060912,0.64874178,-1.50449804,-2.04868001,0.00000000,0.00021025,0.00000000,0.00001233,-0.00001153,-0.00118740,0.03507937
24,0.90478181,0.99299841,0.01518768,-3.06900706,0.48207427,-2.74769024,3.99103714,1.96549647,2.50461952,0.64856923,-1.51577961,-2.05895934,0.00000000,0.00020052,0.00000000,0.00001188,-0.00001102,-0.00113611,0.03429961
25,0.90564207,0.99300254,0.01517944,-3.06921824,0.48230368,-2.74577409,3.99115184,1.96539088,2.50845182,0.64840392,-1.52659387,-2.06882220,0.00000000,0.00019161,0.00000000,0.00001147,-0.00001056,-0.00108905,0.03356896
26,0.90645761,0.99300652,0.01517155,-3.06942086,0.48252540,-2.74393972,3.99126270,1.96528957,2.51212057,0.64824527,-1.53697777,-2.07830106,0.00000000,0.00018344,0.00000000,0.00001109,-0.00001013,-0.00104570,0.03288248
27,0.90723242,0.99301037,0.01516398,-3.06961557,0.48273996,-2.74218069,3.99136998,1.96519222,2.51563863,0.64809277,-1.54696404,-2.08742470,0.00000000,0.00017590,0.00000000,0.00001073,-0.00000974,-0.00100566,0.03223592
28,0.90796999,0.99301409,0.01515671,-3.06980297,0.48294784,-2.74049129,3.99147392,1.96509852,2.51901742,0.64794597,-1.55658183,-2.09621880,0.00000000,0.00016894,0.00000000,0.00001039,-0.00000937,-0.00096855,0.03162556
29,0.90867339,0.99301770,0.01514972,-3.06998357,0.48314946,-2.73886643,3.99157473,1.96500822,2.52226714,0.64780446,-1.56585719,-2.10470634,0.00000000,0.00016249,0.00000000,0.00001008,-0.00000903,-0.00093406,0.03104816
30,0.90934536,0.99302119,0.01514299,-3.07015784,0.48334521,-2.73730155,3.99167260,1.96492108,2.52539690,0.64766789,-1.57481352,-2.11290797,0.00000000,0.00015649,0.00000000,0.00000979,-0.00000871,-0.00090193,0.03050086
31,0.90998831,0.99302458,0.01513649,-3.07032621,0.48353543,-2.73579254,3.99176772,1.96483690,2.52841492,0.64753591,-1.58347191,-2.12084234,0.00000000,0.00015090,0.00000000,0.00000951,-0.00000842,-0.00087192,0.02998115
32,0.91060442,0.99302787,0.01513022,-3.07048905,0.48372045,-2.73433570,3.99186023,1.96475547,2.53132859,0.64740823,-1.59185140,-2.12852632,0.00000000,0.00014568,0.00000000,0.00000925,-0.00000814,-0.00084383,0.02948679
33,0.91119561,0.99303108,0.01512415,-3.07064672,0.48390056,-2.73292769,3.99195028,1.96467664,2.53414462,0.64728460,-1.59996930,-2.13597523,0.00000000,0.00014080,0.00000000,0.00000901,-0.00000788,-0.00081749,0.02901578
34,0.91176363,0.99303419,0.01511828,-3.07079952,0.48407603,-2.73156547,3.99203802,1.96460024,2.53686907,0.64716475,-1.60784134,-2.14320301,0.00000000,0.00013622,0.00000000,0.00000877,-0.00000764,-0.00079273,0.02856637
35,0.91231006,0.99303723,0.01511260,-3.07094775,0.48424711,-2.73024625,3.99212355,1.96452612,2.53950749,0.64704847,-1.61548188,-2.15022243,0.00000000,0.00013192,0.00000000,0.00000855,-0.00000741,-0.00076941,0.02813694
36,0.91283631,0.99304018,0.01510708,-3.07109166,0.48441401,-2.72896753,3.99220700,1.96445417,2.54206494,0.64693556,-1.62290407,-2.15704516,0.00000000,0.00012787,0.00000000,0.00000835,-0.00000720,-0.00074742,0.02772607
37,0.91334368,0.99304306,0.01510173,-3.07123150,0.48457695,-2.72772698,3.99228847,1.96438425,2.54454605,0.64682582,-1.63011996,-2.16368192,0.00000000,0.00012406,0.00000000,0.00000815,-0.00000699,-0.00072664,0.02733246
38,0.91383336,0.99304588,0.01509653,-3.07136749,0.48473612,-2.72652247,3.99236806,1.96431625,2.54695506,0.64671909,-1.63714064,-2.17014258,0.00000000,0.00012045,0.00000000,0.00000796,-0.00000680,-0.00070698,0.02695494
39,0.91430640,0.99304863,0.01509148,-3.07149983,0.48489171,-2.72535205,3.99244585,1.96425009,2.54929589,0.64661521,-1.64397632,-2.17643624,0.00000000,0.00011704,0.00000000,0.00000778,-0.00000662,-0.00068835,0.02659245
40,0.91476380,0.99305131,0.01508656,-3.07162871,0.48504387,-2.72421393,3.99252194,1.96418565,2.55157214,0.64651403,-1.65063645,-2.18257131,0.00000000,0.00011381,0.00000000,0.00000761,-0.00000644,-0.00067067,0.02624402
41,0.91520646,0.99305394,0.01508177,-3.07175430,0.48519277,-2.72310643,3.99259638,1.96412285,2.55378714,0.64641541,-1.65712975,-2.18855559,0.00000000,0.00011075,0.00000000,0.00000744,-0.00000628,-0.00065387,0.02590876
